=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.01.22 17:28:28 =~=~=~=~=~=~=~=~=~=~=~=
, 0
, Thrust: 0.00, Battery Voltage: 14.82V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.71V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.77V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.43V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 15.02V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.91V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.25V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.48V, Current: -0.12A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.94V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.45V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.51V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.39V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.48V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.14V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.00V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.82V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.71V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.94V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.88V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.02V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.88V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.80V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.74V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.80V, Current: -0.12A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.80V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.05V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.45V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.08V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.45V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.48V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.74V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.60V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.43V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.91V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.14V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 12.40V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.48V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.82V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.94V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.97V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.39V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.34V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.77V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 16.82V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 16.68V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 16.05V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 15.56V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 15.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.85V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.68V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.57V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.39V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.42V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.39V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.37V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.31V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.28V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.17V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.17V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.02V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.71V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.60V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.82V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.94V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.85V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 13.97V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.08V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.08V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.11V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.14V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.22V, Current: -0.20A, RPM: 0
, Thrust: 0.00, Battery Voltage: 14.20V, Current: -0.20A, RPM: 0
